Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Market Category,Vehicle Size,Vehicle Style,Average MPG
1.0,0.13636363636363638,0.25,0.25,0.6666666666666666,0.855072463768116,0.0,0.13333333333333333,30.5
0.8571428571428571,0.19556025369978858,0.25,0.25,1.0,0.8985507246376812,1.0,0.9333333333333333,28.5
0.8571428571428571,0.258985200845666,0.375,0.25,1.0,0.9565217391304348,1.0,0.9333333333333333,26.5
0.8571428571428571,0.258985200845666,0.375,0.25,0.0,0.9565217391304348,1.0,0.9333333333333333,25.5
0.8571428571428571,0.258985200845666,0.375,0.25,1.0,0.9565217391304348,1.0,0.9333333333333333,25.5
0.8571428571428571,0.258985200845666,0.375,0.25,0.0,0.9565217391304348,1.0,0.4,24.5
0.8571428571428571,0.19556025369978858,0.25,0.25,0.0,0.8985507246376812,1.0,0.4,27.0
0.8571428571428571,0.19556025369978858,0.25,0.25,0.0,0.8985507246376812,1.0,0.5333333333333333,27.5
0.8571428571428571,0.19556025369978858,0.25,0.25,1.0,0.8985507246376812,1.0,0.4,28.5
0.8571428571428571,0.258985200845666,0.375,0.25,0.0,0.9565217391304348,1.0,0.5333333333333333,25.0
0.8571428571428571,0.19556025369978858,0.25,0.25,1.0,0.9565217391304348,1.0,0.5333333333333333,29.0
0.8571428571428571,0.258985200845666,0.375,0.25,1.0,0.9565217391304348,1.0,0.4,25.5
0.8571428571428571,0.19556025369978858,0.25,0.75,1.0,0.9565217391304348,1.0,0.5333333333333333,28.0
0.8571428571428571,0.19556025369978858,0.25,0.25,0.0,0.8985507246376812,1.0,0.5333333333333333,28.0
0.8571428571428571,0.258985200845666,0.375,0.25,1.0,0.9565217391304348,1.0,0.5333333333333333,25.5
0.7142857142857142,0.20401691331923894,0.25,0.25,1.0,0.8985507246376812,1.0,0.4,28.5
0.7142857142857142,0.20401691331923894,0.25,0.25,0.0,0.8985507246376812,1.0,0.4,27.0
0.7142857142857142,0.28012684989429176,0.375,0.25,0.0,0.9565217391304348,1.0,0.5333333333333333,26.0
0.7142857142857142,0.20401691331923894,0.25,0.25,0.0,0.9565217391304348,1.0,0.5333333333333333,28.0
0.7142857142857142,0.28012684989429176,0.375,0.25,1.0,0.9565217391304348,1.0,0.4,25.0
0.7142857142857142,0.28012684989429176,0.375,0.25,1.0,0.9565217391304348,1.0,0.5333333333333333,26.5
1.0,0.2251585623678647,0.5,0.25,1.0,0.9565217391304348,1.0,0.9333333333333333,17.5
1.0,0.23995771670190275,0.5,0.25,1.0,0.8985507246376812,0.5,0.9333333333333333,14.0
1.0,0.23255813953488375,0.5,0.25,1.0,0.9565217391304348,1.0,0.9333333333333333,19.0
1.0,0.23255813953488375,0.5,0.25,1.0,0.8985507246376812,0.5,0.9333333333333333,15.0
1.0,0.15433403805496831,0.5,0.25,1.0,0.8985507246376812,0.5,0.9333333333333333,15.5
0.8571428571428571,0.4090909090909091,0.75,0.25,1.0,0.43478260869565216,0.0,0.5333333333333333,11.5
0.8571428571428571,0.4090909090909091,0.75,0.75,1.0,0.43478260869565216,0.0,0.5333333333333333,12.0
0.8571428571428571,0.5359408033826639,0.5,0.0,1.0,0.43478260869565216,0.0,0.4,15.0
0.8571428571428571,0.5359408033826639,0.5,0.0,1.0,0.43478260869565216,0.0,0.5333333333333333,15.0
0.8571428571428571,0.572938689217759,0.5,0.0,1.0,0.43478260869565216,0.0,0.5333333333333333,15.0
0.8571428571428571,0.19238900634249473,0.25,0.0,1.0,0.9130434782608696,0.0,0.4,29.0
0.8571428571428571,0.19238900634249473,0.25,0.0,1.0,0.9130434782608696,0.0,0.5333333333333333,29.0
0.8571428571428571,0.258985200845666,0.375,0.25,1.0,0.8115942028985508,0.5,0.13333333333333333,23.5
0.8571428571428571,0.41226215644820297,0.5,0.25,0.0,0.8405797101449275,0.5,0.13333333333333333,20.0
0.8571428571428571,0.258985200845666,0.375,0.25,0.0,0.8115942028985508,0.5,0.13333333333333333,22.0
0.8571428571428571,0.41226215644820297,0.5,0.25,1.0,0.8405797101449275,0.5,0.13333333333333333,20.5
0.8571428571428571,0.258985200845666,0.375,0.25,1.0,0.8405797101449275,0.5,0.13333333333333333,23.0
0.8571428571428571,0.41226215644820297,0.5,0.25,0.0,0.8405797101449275,0.5,0.13333333333333333,19.5
0.8571428571428571,0.4101479915433404,0.5,0.25,0.0,0.9130434782608696,0.5,0.9333333333333333,20.5
0.8571428571428571,0.26109936575052856,0.375,0.25,0.0,0.9565217391304348,0.5,0.9333333333333333,24.5
0.8571428571428571,0.19661733615221988,0.25,0.25,0.0,0.8985507246376812,0.5,0.9333333333333333,27.5
0.8571428571428571,0.19661733615221988,0.25,0.25,1.0,0.8985507246376812,0.5,0.9333333333333333,28.5
0.8571428571428571,0.26109936575052856,0.375,0.25,1.0,0.9565217391304348,0.5,0.9333333333333333,25.5
0.8571428571428571,0.19556025369978858,0.25,0.25,0.0,0.8985507246376812,0.5,0.9333333333333333,28.0
0.8571428571428571,0.19556025369978858,0.25,0.25,1.0,0.8985507246376812,0.5,0.9333333333333333,28.5
0.8571428571428571,0.4101479915433404,0.5,0.25,1.0,0.9130434782608696,0.5,0.9333333333333333,21.0
1.0,0.28224101479915437,0.5,0.25,1.0,0.9565217391304348,0.0,0.4,15.0
1.0,0.28224101479915437,0.5,0.25,1.0,0.9565217391304348,1.0,0.9333333333333333,14.5
1.0,0.2748414376321353,0.5,0.25,1.0,0.8985507246376812,0.5,0.5333333333333333,14.0
1.0,0.2748414376321353,0.5,0.25,1.0,0.9565217391304348,1.0,0.9333333333333333,16.0
1.0,0.2748414376321353,0.5,0.25,1.0,0.9565217391304348,0.0,0.4,16.5
1.0,0.2748414376321353,0.5,0.25,1.0,0.8985507246376812,0.5,0.9333333333333333,14.0
0.7142857142857142,0.11099365750528542,0.25,0.75,0.6666666666666666,0.5652173913043478,0.0,0.4,31.0
0.7142857142857142,0.048625792811839326,0.25,0.75,0.6666666666666666,0.7101449275362319,0.0,0.0,35.5
0.7142857142857142,0.08456659619450319,0.25,0.75,0.6666666666666666,0.7101449275362319,0.0,0.0,31.0
0.7142857142857142,0.11099365750528542,0.25,0.75,0.6666666666666666,0.7681159420289855,0.0,0.0,31.0
0.7142857142857142,0.11099365750528542,0.25,0.75,0.6666666666666666,0.7681159420289855,0.0,0.0,30.5
0.7142857142857142,0.048625792811839326,0.25,0.25,0.6666666666666666,0.7101449275362319,0.0,0.0,30.0
0.7142857142857142,0.11099365750528542,0.25,0.75,0.6666666666666666,0.5652173913043478,0.0,0.4,30.5
1.0,0.13213530655391123,0.25,0.25,0.0,0.0,0.0,0.2,25.5
1.0,0.13213530655391123,0.25,0.25,0.6666666666666666,0.0,0.0,0.2,26.5
0.7142857142857142,0.11099365750528542,0.25,0.75,0.6666666666666666,0.0,0.0,0.2,29.5
1.0,0.13213530655391123,0.25,0.25,0.0,0.0,0.0,0.2,25.0
1.0,0.13213530655391123,0.25,0.25,0.6666666666666666,0.0,0.0,0.2,26.0
0.7142857142857142,0.11099365750528542,0.25,0.75,0.6666666666666666,0.0,0.0,0.2,29.0
0.8571428571428571,0.4545454545454546,0.75,0.75,1.0,0.43478260869565216,0.0,0.4,10.0
0.8571428571428571,0.4545454545454546,0.75,0.75,1.0,0.43478260869565216,0.0,0.5333333333333333,10.0
1.0,0.19344608879492603,0.5,0.25,1.0,0.8985507246376812,0.5,0.5333333333333333,14.0
1.0,0.19344608879492603,0.5,0.25,1.0,0.8985507246376812,0.5,0.9333333333333333,14.0
0.8571428571428571,0.5359408033826639,0.5,0.0,1.0,0.43478260869565216,0.0,0.5333333333333333,19.5
0.8571428571428571,0.4862579281183933,0.75,0.75,1.0,0.43478260869565216,0.0,0.5333333333333333,12.0
0.8571428571428571,0.4862579281183933,0.75,0.0,1.0,0.43478260869565216,0.0,0.5333333333333333,12.5
0.8571428571428571,0.5158562367864694,0.75,0.25,1.0,0.4492753623188406,0.5,0.9333333333333333,13.0
0.8571428571428571,0.6088794926004228,0.75,0.25,1.0,0.463768115942029,0.5,0.9333333333333333,13.0
0.8571428571428571,0.580338266384778,0.75,0.25,1.0,0.463768115942029,0.5,0.9333333333333333,13.0
0.8571428571428571,0.5972515856236786,0.75,0.25,1.0,0.463768115942029,0.5,0.9333333333333333,13.0
0.8571428571428571,0.5972515856236786,0.75,0.25,1.0,0.4927536231884058,0.5,0.9333333333333333,13.0
0.8571428571428571,0.587737843551797,0.75,0.0,1.0,0.43478260869565216,1.0,0.5333333333333333,13.0
0.8571428571428571,0.587737843551797,0.75,0.75,1.0,0.43478260869565216,1.0,0.5333333333333333,13.0
0.8571428571428571,0.6405919661733616,0.75,0.0,1.0,0.36231884057971014,1.0,0.5333333333333333,13.0
0.8571428571428571,0.41226215644820297,0.5,0.25,0.0,0.9130434782608696,0.5,0.9333333333333333,20.0
0.8571428571428571,0.2748414376321353,0.375,0.25,0.0,0.9565217391304348,0.5,0.9333333333333333,24.5
0.8571428571428571,0.2748414376321353,0.375,0.25,1.0,0.9565217391304348,0.5,0.9333333333333333,25.5
0.8571428571428571,0.41226215644820297,0.5,0.25,1.0,0.9130434782608696,0.5,0.9333333333333333,21.0
0.8571428571428571,0.41226215644820297,0.5,0.25,0.0,0.9130434782608696,0.5,0.9333333333333333,19.5
0.8571428571428571,0.41226215644820297,0.5,0.25,1.0,0.9130434782608696,0.5,0.9333333333333333,20.5
0.8571428571428571,0.2748414376321353,0.375,0.25,0.0,0.9565217391304348,0.5,0.9333333333333333,23.5
0.8571428571428571,0.41226215644820297,0.5,0.25,1.0,0.9130434782608696,1.0,0.4,21.0
0.8571428571428571,0.2748414376321353,0.375,0.25,0.0,0.9565217391304348,1.0,0.4,24.5
0.8571428571428571,0.2748414376321353,0.375,0.25,0.0,0.9565217391304348,1.0,0.5333333333333333,24.5
0.8571428571428571,0.2748414376321353,0.375,0.25,1.0,0.9565217391304348,1.0,0.5333333333333333,26.5
0.8571428571428571,0.41226215644820297,0.5,0.25,0.0,0.9130434782608696,1.0,0.5333333333333333,20.5
0.8571428571428571,0.2748414376321353,0.375,0.25,1.0,0.9565217391304348,1.0,0.4,25.5
0.8571428571428571,0.41226215644820297,0.5,0.25,1.0,0.9130434782608696,1.0,0.5333333333333333,21.0
0.8571428571428571,0.41226215644820297,0.5,0.25,0.0,0.9130434782608696,1.0,0.4,20.0
0.8571428571428571,0.2748414376321353,0.375,0.25,1.0,0.9565217391304348,1.0,0.5333333333333333,25.5
0.8571428571428571,0.41226215644820297,0.5,0.25,0.0,0.9130434782608696,1.0,0.4,19.5
0.8571428571428571,0.41226215644820297,0.5,0.25,0.0,0.9130434782608696,1.0,0.5333333333333333,20.0
0.8571428571428571,0.41226215644820297,0.5,0.25,1.0,0.9130434782608696,1.0,0.5333333333333333,20.5
0.8571428571428571,0.2748414376321353,0.375,0.25,0.0,0.9565217391304348,1.0,0.5333333333333333,23.5
0.8571428571428571,0.2748414376321353,0.375,0.25,1.0,0.9565217391304348,1.0,0.4,24.5
0.8571428571428571,0.2748414376321353,0.375,0.25,0.0,0.9565217391304348,1.0,0.4,23.5
0.8571428571428571,0.41226215644820297,0.5,0.25,1.0,0.9130434782608696,1.0,0.4,20.5
1.0,0.36680761099365755,0.75,0.25,1.0,0.8985507246376812,0.5,0.9333333333333333,12.0
